name,url,city_name,city_state,industry,ranking
DST Systems,http://fortune.com/fortune500/dst-systems-807/,Kansas City, MO,Financial Data Services,807
Legg Mason,http://fortune.com/fortune500/legg-mason-808/,Baltimore, MD,Securities,808
Teradata,http://fortune.com/fortune500/teradata-809/,Dayton, OH,Computer Software,809
Aaron's,http://fortune.com/fortune500/aarons-810/,Atlanta, GA,Specialty Retailers: Other,810
Antero Resources,http://fortune.com/fortune500/antero-resources-811/,Denver, CO,"Mining, Crude-Oil Production",811
Metaldyne Performance Group,http://fortune.com/fortune500/metaldyne-performance-group-812/,Plymouth, MI,Motor Vehicles and Parts,812
Range Resources,http://fortune.com/fortune500/range-resources-813/,Fort Worth, TX,"Mining, Crude-Oil Production",813
Vornado Realty Trust,http://fortune.com/fortune500/vornado-realty-trust-814/,New York, NY,Real estate,814
Boyd Gaming,http://fortune.com/fortune500/boyd-gaming-815/,Las Vegas, NV,"Hotels, Casinos, Resorts",815
Covance,http://fortune.com/fortune500/covance-816/,Princeton, NJ,Health Care: Pharmacy and Other Services,816
Armstrong World Industries,http://fortune.com/fortune500/armstrong-world-industries-817/,Lancaster, PA,"Building Materials, Glass",817
Cracker Barrel Old Country Store,http://fortune.com/fortune500/cracker-barrel-old-country-store-818/,Lebanon, TN,Food Services,818
Chico's FAS,http://fortune.com/fortune500/chicos-fas-819/,Fort Myers, FL,Specialty Retailers: Apparel,819
Scripps Networks Interactive,http://fortune.com/fortune500/scripps-networks-interactive-820/,Knoxville, TN,Entertainment,820
Universal Forest Products,http://fortune.com/fortune500/universal-forest-products-821/,Grand Rapids, MI,Forest and Paper Products,821
Concho Resources,http://fortune.com/fortune500/concho-resources-822/,Midland, TX,"Mining, Crude-Oil Production",822
ITT,http://fortune.com/fortune500/itt-823/,White Plains, NY,Industrial Machinery,823
HCC Insurance Holdings,http://fortune.com/fortune500/hcc-insurance-holdings-824/,Houston, TX,Insurance: Property and Casualty (Stock),824
Moog,http://fortune.com/fortune500/moog-825/,East Aurora, NY,Aerospace and Defense,825
IMS Health Holdings,http://fortune.com/fortune500/ims-health-holdings-826/,Danbury, CT,Health Care: Pharmacy and Other Services,826
Cinemark Holdings,http://fortune.com/fortune500/cinemark-holdings-827/,Plano, TX,Entertainment,827
Comerica,http://fortune.com/fortune500/comerica-828/,Dallas, TX,Commercial Banks,828
Equity Residential,http://fortune.com/fortune500/equity-residential-829/,Chicago, IL,Real estate,829
Ryland Group,http://fortune.com/fortune500/ryland-group-830/,Westlake Village, CA,Homebuilders,830
GNC Holdings,http://fortune.com/fortune500/gnc-holdings-831/,Pittsburgh, PA,Food and Drug Stores,831
ArcBest,http://fortune.com/fortune500/arcbest-832/,Fort Smith, AR,"Trucking, Truck Leasing",832
Vectren,http://fortune.com/fortune500/vectren-833/,Evansville, IN,Utilities: Gas and Electric,833
Curtiss-Wright,http://fortune.com/fortune500/curtiss-wright-834/,Charlotte, NC,Aerospace and Defense,834
Tupperware Brands,http://fortune.com/fortune500/tupperware-brands-835/,Orlando, FL,Household and Personal Products,835
Westar Energy,http://fortune.com/fortune500/westar-energy-836/,Topeka, KS,Utilities: Gas and Electric,836
Albemarle,http://fortune.com/fortune500/albemarle-837/,Baton Rouge, LA,Chemicals,837
AptarGroup,http://fortune.com/fortune500/aptargroup-838/,Crystal Lake, IL,"Packaging, Containers",838
Pinnacle Foods,http://fortune.com/fortune500/pinnacle-foods-839/,Parsippany, NJ,Food Consumer Products,839
Penn National Gaming,http://fortune.com/fortune500/penn-national-gaming-840/,Wyomissing, PA,"Hotels, Casinos, Resorts",840
J.Crew Group,http://fortune.com/fortune500/j-crew-group-841/,New York, NY,Specialty Retailers: Apparel,841
Vantiv,http://fortune.com/fortune500/vantiv-842/,Symmes Township, OH,Financial Data Services,842
Kansas City Southern,http://fortune.com/fortune500/kansas-city-southern-843/,Kansas City, MO,Railroads,843
Caleres,http://fortune.com/fortune500/caleres-844/,St. Louis, MO,Specialty Retailers: Apparel,844
Nu Skin Enterprises,http://fortune.com/fortune500/nu-skin-enterprises-845/,Provo, UT,Household and Personal Products,845
Great Plains Energy,http://fortune.com/fortune500/great-plains-energy-846/,Kansas City, MO,Utilities: Gas and Electric,846
Kirby,http://fortune.com/fortune500/kirby-847/,Houston, TX,zMiscellaneous,847
General Growth Properties,http://fortune.com/fortune500/general-growth-properties-848/,Chicago, IL,Real estate,848
Broadridge Financial Solutions,http://fortune.com/fortune500/broadridge-financial-solutions-849/,Lake Success, NY,Financial Data Services,849
Stericycle,http://fortune.com/fortune500/stericycle-850/,Lake Forest, IL,Waste Management,850
Global Payments,http://fortune.com/fortune500/global-payments-851/,Atlanta, GA,Financial Data Services,851
Nortek,http://fortune.com/fortune500/nortek-852/,Providence, RI,Industrial Machinery,852
Schnitzer Steel Industries,http://fortune.com/fortune500/schnitzer-steel-industries-853/,Portland, OR,Metals,853
Universal,http://fortune.com/fortune500/universal-854/,Richmond, VA,Tobacco,854
ANN,http://fortune.com/fortune500/ann-855/,New York, NY,Specialty Retailers: Apparel,855
Hologic,http://fortune.com/fortune500/hologic-856/,Bedford, MA,Medical Products and Equipment,856
Panera Bread,http://fortune.com/fortune500/panera-bread-857/,St. Louis, MO,Food Services,857
AOL,http://fortune.com/fortune500/aol-858/,New York, NY,Internet Services and Retailing,858
SM Energy,http://fortune.com/fortune500/sm-energy-859/,Denver, CO,"Mining, Crude-Oil Production",859
Paychex,http://fortune.com/fortune500/paychex-860/,Rochester, NY,Diversified Outsourcing Services,860
PriceSmart,http://fortune.com/fortune500/pricesmart-861/,San Diego, CA,Specialty Retailers: Other,861
Autodesk,http://fortune.com/fortune500/autodesk-862/,San Rafael, CA,Computer Software,862
Affiliated Managers Group,http://fortune.com/fortune500/affiliated-managers-group-863/,Prides Crossing, MA,Securities,863
Tops Holding,http://fortune.com/fortune500/tops-holding-864/,Williamsville, NY,Food and Drug Stores,864
Dynegy,http://fortune.com/fortune500/dynegy-865/,Houston, TX,Energy,865
DSW,http://fortune.com/fortune500/dsw-866/,Columbus, OH,Specialty Retailers: Apparel,866
Vishay Intertechnology,http://fortune.com/fortune500/vishay-intertechnology-867/,Malvern, PA,Semiconductors and Other Electronic Components,867
Mettler-Toledo International,http://fortune.com/fortune500/mettler-toledo-international-868/,Columbus, OH,"Scientific,Photographic and Control Equipment",868
SunEdison,http://fortune.com/fortune500/sunedison-869/,Maryland Heights, MO,Semiconductors and Other Electronic Components,869
Tetra Tech,http://fortune.com/fortune500/tetra-tech-870/,Pasadena, CA,"Engineering, Construction",870
Momentive Performance Materials,http://fortune.com/fortune500/momentive-performance-materials-871/,Waterford, NY,Chemicals,871
EnerSys,http://fortune.com/fortune500/enersys-872/,Reading, PA,"Electronics, Electrical Equip.",872
Donaldson,http://fortune.com/fortune500/donaldson-873/,Minneapolis, MN,Industrial Machinery,873
EQT,http://fortune.com/fortune500/eqt-874/,Pittsburgh, PA,Energy,874
Monster Beverage,http://fortune.com/fortune500/monster-beverage-875/,Corona, CA,Beverages,875
PC Connection,http://fortune.com/fortune500/pc-connection-876/,Merrimack, NH,Specialty Retailers: Other,876
Total System Services,http://fortune.com/fortune500/total-system-services-877/,Columbus, GA,Financial Data Services,877
ServiceMaster Global Holdings,http://fortune.com/fortune500/servicemaster-global-holdings-878/,Memphis, TN,Diversified Outsourcing Services,878
Medical Mutual of Ohio,http://fortune.com/fortune500/medical-mutual-of-ohio-879/,Cleveland, OH,"Insurance: Life, Health (Mutual)",879
Applied Industrial Technologies,http://fortune.com/fortune500/applied-industrial-technologies-880/,Cleveland, OH,Wholesalers: Diversified,880
Maxim Integrated Products,http://fortune.com/fortune500/maxim-integrated-products-881/,San Jose, CA,Semiconductors and Other Electronic Components,881
OGE Energy,http://fortune.com/fortune500/oge-energy-882/,Oklahoma City, OK,Utilities: Gas and Electric,882
A. Schulman,http://fortune.com/fortune500/a-schulman-883/,Fairlawn, OH,Chemicals,883
Equinix,http://fortune.com/fortune500/equinix-884/,Redwood City, CA,Telecommunications,884
Mednax,http://fortune.com/fortune500/mednax-885/,Sunrise, FL,Health Care: Pharmacy and Other Services,885
Equifax,http://fortune.com/fortune500/equifax-886/,Atlanta, GA,Financial Data Services,886
Standard Pacific,http://fortune.com/fortune500/standard-pacific-887/,Irvine, CA,Homebuilders,887
Denbury Resources,http://fortune.com/fortune500/denbury-resources-888/,Plano, TX,"Mining, Crude-Oil Production",888
Cimarex Energy,http://fortune.com/fortune500/cimarex-energy-889/,Denver, CO,"Mining, Crude-Oil Production",889
Mutual of America Life Insurance,http://fortune.com/fortune500/mutual-of-america-life-insurance-890/,New York, NY,"Insurance: Life, Health (Mutual)",890
Guess,http://fortune.com/fortune500/guess-891/,Los Angeles, CA,Apparel,891
Post Holdings,http://fortune.com/fortune500/post-holdings-892/,St. Louis, MO,Food Consumer Products,892
HealthSouth,http://fortune.com/fortune500/healthsouth-893/,Birmingham, AL,Health Care: Medical Facilities,893
Ferrellgas Partners,http://fortune.com/fortune500/ferrellgas-partners-894/,Overland Park, KS,Energy,894
KB Home,http://fortune.com/fortune500/kb-home-895/,Los Angeles, CA,Homebuilders,895
Boston Properties,http://fortune.com/fortune500/boston-properties-896/,Boston, MA,Real estate,896
Trimble Navigation,http://fortune.com/fortune500/trimble-navigation-897/,Sunnyvale, CA,"Scientific,Photographic and Control Equipment",897
Teledyne Technologies,http://fortune.com/fortune500/teledyne-technologies-898/,Thousand Oaks, CA,"Scientific,Photographic and Control Equipment",898
Acuity Brands,http://fortune.com/fortune500/acuity-brands-899/,Atlanta, GA,"Electronics, Electrical Equip.",899
Skechers U.S.A.,http://fortune.com/fortune500/skechers-u-s-a-900/,Manhattan Beach, CA,Apparel,900
Xilinx,http://fortune.com/fortune500/xilinx-901/,San Jose, CA,Semiconductors and Other Electronic Components,901
Plexus,http://fortune.com/fortune500/plexus-902/,Neenah, WI,Semiconductors and Other Electronic Components,902
Newfield Exploration,http://fortune.com/fortune500/newfield-exploration-903/,The Woodlands, TX,"Mining, Crude-Oil Production",903
TransDigm Group,http://fortune.com/fortune500/transdigm-group-904/,Cleveland, OH,Aerospace and Defense,904
Kar Auction Services,http://fortune.com/fortune500/kar-auction-services-905/,Carmel, IN,Wholesalers: Diversified,905
Mueller Industries,http://fortune.com/fortune500/mueller-industries-906/,Memphis, TN,Industrial Machinery,906
Zions Bancorp.,http://fortune.com/fortune500/zions-bancorp-907/,Salt Lake City, UT,Commercial Banks,907
Insperity,http://fortune.com/fortune500/insperity-908/,Kingwood, TX,Diversified Outsourcing Services,908
XPO Logistics,http://fortune.com/fortune500/xpo-logistics-909/,Greenwich, CT,Transportation and Logistics,909
Sears Hometown & Outlet Stores,http://fortune.com/fortune500/sears-hometown-outlet-stores-910/,Hoffman Estates, IL,Specialty Retailers: Other,910
A.O. Smith,http://fortune.com/fortune500/a-o-smith-911/,Milwaukee, WI,"Electronics, Electrical Equip.",911
Alliance One International,http://fortune.com/fortune500/alliance-one-international-912/,Morrisville, NC,Tobacco,912
Take-Two Interactive Software,http://fortune.com/fortune500/take-two-interactive-software-913/,New York, NY,Computer Software,913
hhgregg,http://fortune.com/fortune500/hhgregg-914/,Indianapolis, IN,Specialty Retailers: Other,914
RPC,http://fortune.com/fortune500/rpc-915/,Atlanta, GA,"Oil and Gas Equipment, Services",915
NewMarket,http://fortune.com/fortune500/newmarket-916/,Richmond, VA,Chemicals,916
Beacon Roofing Supply,http://fortune.com/fortune500/beacon-roofing-supply-917/,Herndon, VA,Wholesalers: Diversified,917
Edwards Lifesciences,http://fortune.com/fortune500/edwards-lifesciences-918/,Irvine, CA,Medical Products and Equipment,918
Triple-S Management,http://fortune.com/fortune500/triple-s-management-919/,San Juan, PR,Health Care: Insurance and Managed Care,919
Hawaiian Holdings,http://fortune.com/fortune500/hawaiian-holdings-920/,Honolulu, HI,Airlines,920
Heartland Payment Systems,http://fortune.com/fortune500/heartland-payment-systems-921/,Princeton, NJ,Financial Data Services,921
Belden,http://fortune.com/fortune500/belden-922/,St. Louis, MO,"Electronics, Electrical Equip.",922
Magellan Midstream Partners,http://fortune.com/fortune500/magellan-midstream-partners-923/,Tulsa, OK,Pipelines,923
Outerwall,http://fortune.com/fortune500/outerwall-924/,Bellevue, WA,Specialty Retailers: Other,924
KapStone Paper & Packaging,http://fortune.com/fortune500/kapstone-paper-packaging-925/,Northbrook, IL,"Packaging, Containers",925
Alliance Holdings,http://fortune.com/fortune500/alliance-holdings-926/,Tulsa, OK,"Mining, Crude-Oil Production",926
Skyworks Solutions,http://fortune.com/fortune500/skyworks-solutions-927/,Woburn, MA,Semiconductors and Other Electronic Components,927
Ciena,http://fortune.com/fortune500/ciena-928/,Hanover, MD,Network and Other Communications Equipment,928
Granite Construction,http://fortune.com/fortune500/granite-construction-929/,Watsonville, CA,"Engineering, Construction",929
Education Management,http://fortune.com/fortune500/education-management-930/,Pittsburgh, PA,Education,930
Party City Holdings,http://fortune.com/fortune500/party-city-holdings-931/,Elmsford, NY,Specialty Retailers: Other,931
HCP,http://fortune.com/fortune500/hcp-932/,Irvine, CA,Real estate,932
Parexel International,http://fortune.com/fortune500/parexel-international-933/,Waltham, MA,Health Care: Pharmacy and Other Services,933
Delta Tucker Holdings,http://fortune.com/fortune500/delta-tucker-holdings-934/,McLean, VA,Aerospace and Defense,934
Pinnacle Entertainment,http://fortune.com/fortune500/pinnacle-entertainment-935/,Las Vegas, NV,"Hotels, Casinos, Resorts",935
Stifel Financial,http://fortune.com/fortune500/stifel-financial-936/,St. Louis, MO,Securities,936
Pool,http://fortune.com/fortune500/pool-937/,Covington, LA,Wholesalers: Diversified,937
Olin,http://fortune.com/fortune500/olin-938/,Clayton, MO,Chemicals,938
Knights of Columbus,http://fortune.com/fortune500/knights-of-columbus-939/,New Haven, CT,"Insurance: Life, Health (Mutual)",939
PerkinElmer,http://fortune.com/fortune500/perkinelmer-940/,Waltham, MA,"Scientific,Photographic and Control Equipment",940
Alexion Pharmaceuticals,http://fortune.com/fortune500/alexion-pharmaceuticals-941/,Cheshire, CT,Pharmaceuticals,941
IHS,http://fortune.com/fortune500/ihs-942/,Englewood, CO,Financial Data Services,942
Oil States International,http://fortune.com/fortune500/oil-states-international-943/,Houston, TX,"Oil and Gas Equipment, Services",943
HNI,http://fortune.com/fortune500/hni-944/,Muscatine, IA,"Home Equipment, Furnishings",944
LinkedIn,http://fortune.com/fortune500/linkedin-945/,Mountain View, CA,Internet Services and Retailing,945
Diplomat Pharmacy,http://fortune.com/fortune500/diplomat-pharmacy-946/,Flint, MI,Food and Drug Stores,946
Brocade Communications Systems,http://fortune.com/fortune500/brocade-communications-systems-947/,San Jose, CA,Network and Other Communications Equipment,947
Greenbrier Cos.,http://fortune.com/fortune500/greenbrier-cos-948/,Lake Oswego, OR,Transportation Equipment,948
AMC Networks,http://fortune.com/fortune500/amc-networks-949/,New York, NY,Entertainment,949
Kemper,http://fortune.com/fortune500/kemper-950/,Chicago, IL,Insurance: Property and Casualty (Stock),950
Ocwen Financial,http://fortune.com/fortune500/ocwen-financial-951/,Atlanta, GA,Diversified Financials,951
Public Storage,http://fortune.com/fortune500/public-storage-952/,Glendale, CA,zMiscellaneous,952
TriNet Group,http://fortune.com/fortune500/trinet-group-953/,San Leandro, CA,Diversified Outsourcing Services,953
Chemtura,http://fortune.com/fortune500/chemtura-954/,Philadelphia, PA,Chemicals,954
Symetra Financial,http://fortune.com/fortune500/symetra-financial-955/,Bellevue, WA,"Insurance: Life, Health (stock)",955
Tower International,http://fortune.com/fortune500/tower-international-956/,Livonia, MI,Motor Vehicles and Parts,956
Meritage Homes,http://fortune.com/fortune500/meritage-homes-957/,Scottsdale, AZ,Homebuilders,957
MarkWest Energy Partners,http://fortune.com/fortune500/markwest-energy-partners-958/,Denver, CO,Pipelines,958
Bio-Rad Laboratories,http://fortune.com/fortune500/bio-rad-laboratories-959/,Hercules, CA,Medical Products and Equipment,959
TrueBlue,http://fortune.com/fortune500/trueblue-960/,Tacoma, WA,Temporary Help,960
Cabot Oil & Gas,http://fortune.com/fortune500/cabot-oil-gas-961/,Houston, TX,"Mining, Crude-Oil Production",961
Carpenter Technology,http://fortune.com/fortune500/carpenter-technology-962/,Wyomissing, PA,Metals,962
Toro,http://fortune.com/fortune500/toro-963/,Bloomington, MN,Construction and Farm Machinery,963
American Equity Investment Life Holding,http://fortune.com/fortune500/american-equity-investment-life-holding-964/,West Des Moines, IA,"Insurance: Life, Health (stock)",964
Express,http://fortune.com/fortune500/express-965/,Columbus, OH,Specialty Retailers: Apparel,965
Eastman Kodak,http://fortune.com/fortune500/eastman-kodak-966/,Rochester, NY,"Scientific,Photographic and Control Equipment",966
Hain Celestial Group,http://fortune.com/fortune500/hain-celestial-group-967/,Lake Success, NY,Food Consumer Products,967
Nationstar Mortgage Holdings,http://fortune.com/fortune500/nationstar-mortgage-holdings-968/,Coppell, TX,Diversified Financials,968
IDEX,http://fortune.com/fortune500/idex-969/,Lake Forest, IL,Industrial Machinery,969
Popular,http://fortune.com/fortune500/popular-970/,Hato Rey, PR,Commercial Banks,970
Werner Enterprises,http://fortune.com/fortune500/werner-enterprises-971/,Omaha, NE,"Trucking, Truck Leasing",971
Esterline Technologies,http://fortune.com/fortune500/esterline-technologies-972/,Bellevue, WA,Aerospace and Defense,972
Intuitive Surgical,http://fortune.com/fortune500/intuitive-surgical-973/,Sunnyvale, CA,Medical Products and Equipment,973
Allison Transmission Holdings,http://fortune.com/fortune500/allison-transmission-holdings-974/,Indianaoplis, IN,Motor Vehicles and Parts,974
SemGroup,http://fortune.com/fortune500/semgroup-975/,Tulsa, OK,Pipelines,975
Southwest Gas,http://fortune.com/fortune500/southwest-gas-976/,Las Vegas, NV,Utilities: Gas and Electric,976
G-III Apparel Group,http://fortune.com/fortune500/g-iii-apparel-group-977/,New York, NY,Apparel,977
National Fuel Gas,http://fortune.com/fortune500/national-fuel-gas-978/,Williamsville, NY,Utilities: Gas and Electric,978
H.B. Fuller,http://fortune.com/fortune500/h-b-fuller-979/,St. Paul, MN,Chemicals,979
Penn Mutual Life Insurance,http://fortune.com/fortune500/penn-mutual-life-insurance-980/,Horsham, PA,"Insurance: Life, Health (stock)",980
RCS Capital,http://fortune.com/fortune500/rcs-capital-981/,New York, NY,Securities,981
Columbia Sportswear,http://fortune.com/fortune500/columbia-sportswear-982/,Portland, OR,Apparel,982
Amica Mutual Insurance,http://fortune.com/fortune500/amica-mutual-insurance-983/,Lincoln, RI,Insurance: Property and Casualty (Mutual),983
Primoris Services,http://fortune.com/fortune500/primoris-services-984/,Dallas, TX,"Engineering, Construction",984
Energen,http://fortune.com/fortune500/energen-985/,Birmingham, AL,"Mining, Crude-Oil Production",985
Rexnord,http://fortune.com/fortune500/rexnord-986/,Milwaukee, WI,Industrial Machinery,986
Seventy Seven Energy,http://fortune.com/fortune500/seventy-seven-energy-987/,Oklahoma City, OK,"Oil and Gas Equipment, Services",987
Waste Connections,http://fortune.com/fortune500/waste-connections-988/,The Woodlands, TX,Waste Management,988
"Pep Boys-Manny, Moe & Jack",http://fortune.com/fortune500/pep-boys-manny-moe-jack-989/,Philadelphia, PA,Specialty Retailers: Other,989
Harsco,http://fortune.com/fortune500/harsco-990/,Camp Hill, PA,Metals,990
Hovnanian Enterprises,http://fortune.com/fortune500/hovnanian-enterprises-991/,Red Bank, NJ,Homebuilders,991
Willbros Group,http://fortune.com/fortune500/willbros-group-992/,Houston, TX,"Oil and Gas Equipment, Services",992
Wendy's,http://fortune.com/fortune500/wendys-993/,Dublin, OH,Food Services,993
International Game Technology,http://fortune.com/fortune500/international-game-technology-994/,Las Vegas, NV,Industrial Machinery,994
Synopsys,http://fortune.com/fortune500/synopsys-995/,Mountain View, CA,Computer Software,995
Universal American,http://fortune.com/fortune500/universal-american-996/,White Plains, NY,Health Care: Insurance and Managed Care,996
AAR,http://fortune.com/fortune500/aar-997/,Wood Dale, IL,Aerospace and Defense,997
Selective Insurance Group,http://fortune.com/fortune500/selective-insurance-group-998/,Branchville, NJ,Insurance: Property and Casualty (Stock),998
Gartner,http://fortune.com/fortune500/gartner-999/,Stamford, CT,Information Technology Services,999
E*Trade Financial,http://fortune.com/fortune500/etrade-financial-1000/,New York, NY,Securities,1000
